nombre_embalse	fecha	hora	cota
MAULE	2022-01-03	7	2160,94
MELADO	2022-01-03	7	642,6
PANGUE	2022-01-03	7	509,6
POLCURA	2022-01-03	7	735,2
RALCO	2022-01-03	7	720,33
RAPEL	2022-01-03	7	104,0
ANGOSTURA	2022-01-03	8	316,33
CHAPO	2022-01-03	8	235,37
COLBUN	2022-01-03	8	429,82
INVERNADA	2022-01-03	8	1293,04
LAJA	2022-01-03	8	1319,18
MACHICURA	2022-01-03	8	256,41
MAULE	2022-01-03	8	2160,94
MELADO	2022-01-03	8	642,57
PANGUE	2022-01-03	8	509,6
POLCURA	2022-01-03	8	735,06
RALCO	2022-01-03	8	720,33
RAPEL	2022-01-03	8	104,0
ANGOSTURA	2022-01-03	9	316,38
CHAPO	2022-01-03	9	235,38
COLBUN	2022-01-03	9	429,82
INVERNADA	2022-01-03	9	1293,04
LAJA	2022-01-03	9	1319,18
MACHICURA	2022-01-03	9	256,37
MAULE	2022-01-03	9	2160,94
MELADO	2022-01-03	9	642,68
PANGUE	2022-01-03	9	509,56
POLCURA	2022-01-03	9	734,88
RALCO	2022-01-03	9	720,34
RAPEL	2022-01-03	9	104,0
ANGOSTURA	2022-01-03	10	316,42
CHAPO	2022-01-03	10	235,38
COLBUN	2022-01-03	10	429,82
INVERNADA	2022-01-03	10	1293,05
LAJA	2022-01-03	10	1319,18
MACHICURA	2022-01-03	10	256,32
MAULE	2022-01-03	10	2160,94
MELADO	2022-01-03	10	642,8
PANGUE	2022-01-03	10	509,55
POLCURA	2022-01-03	10	734,84
RALCO	2022-01-03	10	720,36
RAPEL	2022-01-03	10	104,0
ANGOSTURA	2022-01-03	11	316,46
CHAPO	2022-01-03	11	235,39
COLBUN	2022-01-03	11	429,82
INVERNADA	2022-01-03	11	1293,05
LAJA	2022-01-03	11	1319,18
MACHICURA	2022-01-03	11	256,28
MAULE	2022-01-03	11	2160,94
MELADO	2022-01-03	11	642,88
PANGUE	2022-01-03	11	509,55
POLCURA	2022-01-03	11	734,94
RALCO	2022-01-03	11	720,37
RAPEL	2022-01-03	11	104,0
ANGOSTURA	2022-01-03	12	316,49
CHAPO	2022-01-03	12	235,41
COLBUN	2022-01-03	12	429,82
INVERNADA	2022-01-03	12	1293,06
LAJA	2022-01-03	12	1319,18
MACHICURA	2022-01-03	12	256,25
MAULE	2022-01-03	12	2160,94
MELADO	2022-01-03	12	642,87
PANGUE	2022-01-03	12	509,55
